name,dosageType,generic,strength,manufacturer,UnitPrice,PackageSize
A-Cold,Syrup,Bromhexine Hydrochloride,4 mg/5 ml,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 40.12
A-Cof,Syrup,Dextromethorphan + Pseudoephedrine + Triprolidine,(10 mg+30 mg+1.25 mg)/5 ml,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 100.00
A-Clox,Injection,Cloxacillin Sodium,500 mg/vial,ACME Laboratories Ltd.,500,(5's pack: ৳ 142.15)
A-Clox,Injection,Cloxacillin Sodium,250 mg/vial,ACME Laboratories Ltd.,250,(5's pack: ৳ 100.00)
A-Clox,Powder for Suspension,Cloxacillin Sodium,125 mg/5 ml,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 45.00
A-Clox,Capsule,Cloxacillin Sodium,500 mg,ACME Laboratories Ltd.,5.98,(100's pack: ৳ 598.00)
A-Care,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Asiatic Laboratories Ltd.,2.50,(20's pack: ৳ 50.00)
A-Card,Tablet,Isosorbide Mononitrate,20 mg,ACME Laboratories Ltd.,1.43,(100's pack: ৳ 143.00)
A-Calm,Tablet,Tolperisone Hydrochloride,50 mg,ACME Laboratories Ltd.,6.00,(50's pack: ৳ 300.00)
A-Cal DX,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+400 IU,ACME Laboratories Ltd.,7.50,(30's pack: ৳ 225.00)
A-Cal D,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,ACME Laboratories Ltd.,6.50,"(15's pack: ৳ 97.50),(30's pack: ৳ 195.00)"
A-Cal,Tablet,Calcium Carbonate,500 mg,ACME Laboratories Ltd.,5.00,(100's pack: ৳ 500.00)
A-B1,Tablet,Thiamine Hydrochloride,100 mg,ACME Laboratories Ltd.,0.86,(100's pack: ৳ 86.00)
5X,Tablet,Ulipristal Acetate [For emergency contraception],30 mg,Renata Limited,200.00,Unit Price: ৳ 200.00
5-Fluril,IV Injection or Infusion,Fluorouracil,25 mg/ml,Techno Drugs Ltd.,250,250 mg vial: ৳ 55.00
Arubin,Capsule,Nabayas Louha Herbal Haematinic,500 mg,Square Pharmaceuticals Ltd.,4.00,(30's pack: ৳ 120.00)
Arkid,Syrup,Aravindasav,,ACME Laboratories Ltd.,100,100 ml bottle: ৳ 70.00
Arjunacard,Syrup,Arjunarista,,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 90.00
Apelin,Syrup,Malus sylvestris,,Hamdard Bangladesh,100,100 ml bottle: ৳ 60.00
Antiligo,Capsule,Barsina,,Hamdard Bangladesh,3.00,(50's pack: ৳ 150.00)
Anseng,Capsule,Panax Ginseng,500 mg,Aristopharma Ltd.,20.00,(30's pack: ৳ 600.00)
Anjort,Capsule,St. John’s Wort,300 mg,Ibn Sina Pharmaceuticals Ltd.,4.33,(30's pack: ৳ 130.00)
Amlacid,Syrup,Amalaki Rasayana,,ACME Laboratories Ltd.,200,200 ml bottle: ৳ 80.00
Amlabery,Syrup,Sharbat Amla,,Drug International Ltd.,450,450 ml bottle: ৳ 350.00
Amla (Hair oil),Scalp Solution,Emblic Myrobalan + Sesame,(1.66 ml+3.3 ml)/5 ml,Hamdard Bangladesh,130,130 ml bottle: ৳ 200.00
AmCivit,Syrup,Emblica officinalis + Piper longum,(3.03 ml+0.12 gm)/5 ml,Square Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 60.00
Alvasin,Syrup,Ejaz,,Hamdard Bangladesh,100,100 ml bottle: ৳ 70.00
Altiver,Capsule,Ginkgo Biloba,60 mg,Kemiko Pharmaceuticals Ltd.,22.00,(20's pack: ৳ 440.00)
Alovera,Tablet,Aloe indica+ Hyoscyamus niger + Piper nigrum,345 mg,ACME Laboratories Ltd.,8.00,(30's pack: ৳ 240.00)
Alkuli,Syrup,Buzuri,,Hamdard Bangladesh,100,100 ml bottle: ৳ 50.00
Alisa,Tablet,Garlitab,,Hamdard Bangladesh,2.00,(50's pack: ৳ 100.00)
Aliksir,Capsule,Nigella Sativa [Black Seed Oil],500 mg,Renata Limited,12.00,(30's pack: ৳ 360.00)
